datacenter_location,router_name,interface_ip,link_type,latency_ms,bandwidth_gbps,vulnerability_score,node_status,last_security_scan
Japan (Tokyo-North),JAPAN_Edge_Aggregation_01,172.16.124.17,Edge Distribution,10,40,0.43,Operational / Patch Compliant,2026-06-11T07:39:44Z
Iceland (Reykjavik-HQ),ICELAND_Core_Backbone_03,172.28.50.126,Backbone Trunk,5,400,0.02,Operational / Patch Compliant,2026-06-11T02:44:44Z
US (Virginia-East),US_Distribution_Layer_05,172.24.115.115,Edge Distribution,17,40,0.28,Operational / Patch Compliant,2026-06-08T06:24:44Z
Iceland (Reykjavik-HQ),ICELAND_Distribution_Layer_03,172.24.141.68,Edge Distribution,10,10,0.02,Operational / Patch Compliant,2026-06-13T08:21:44Z
Singapore (South-Asia),SINGAPORE_Edge_Aggregation_05,10.203.120.97,Edge Distribution,16,10,0.02,Operational / Patch Compliant,2026-06-07T13:36:44Z
US (Virginia-East),US_Edge_Aggregation_02,10.98.39.208,Edge Distribution,5,40,0.4,Operational / Patch Compliant,2026-06-09T14:27:44Z
Germany (Frankfurt-Central),GERMANY_Border_Gateway_02,10.214.132.140,Inter-DC Transit,12,40,0.08,Operational / Patch Compliant,2026-06-14T19:13:44Z
Ireland (Dublin-East),IRELAND_Edge_Aggregation_01,10.50.152.163,Edge Distribution,13,40,0.28,Operational / Patch Compliant,2026-06-11T10:37:44Z
Germany (Frankfurt-Central),GERMANY_Core_Backbone_03,10.148.17.194,Backbone Trunk,4,400,0.24,Operational / Patch Compliant,2026-06-08T22:52:44Z
Singapore (South-Asia),SINGAPORE_Edge_Aggregation_04,10.222.68.166,Edge Distribution,13,10,0.22,Operational / Patch Compliant,2026-06-11T00:23:44Z
Japan (Tokyo-North),JAPAN_Edge_Aggregation_03,10.122.237.210,Edge Distribution,9,10,0.43,Operational / Patch Compliant,2026-06-11T06:54:44Z
Japan (Tokyo-North),JAPAN_Core_Backbone_02,172.29.186.115,Backbone Trunk,7,100,0.05,Operational / Patch Compliant,2026-06-12T13:21:44Z
Ireland (Dublin-East),IRELAND_Distribution_Layer_01,172.16.65.64,Edge Distribution,16,40,0.88,Critical Exposure,2026-06-08T20:21:44Z
Japan (Tokyo-North),JAPAN_Edge_Aggregation_04,172.25.129.245,Edge Distribution,9,10,0.11,Operational / Patch Compliant,2026-06-12T12:19:44Z
Ireland (Dublin-East),IRELAND_Edge_Aggregation_02,172.22.118.112,Edge Distribution,11,10,0.09,Operational / Patch Compliant,2026-06-10T16:19:44Z
